"","Record_Number","Run_ID","Date_Time","Study_Info","Time_Period","LT_Iteration","Risk_Iteration","Run_Status","Memory_Usage","Memory_Avail","Message_Type","Message","Message_Time"
"47",46,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Running"," 3072.3","13417.9","Informational","ST found in Resources table is not a valid Resource Group option for the resource Battle River #4 (BR4).  This Resource Group pointer will be ignored.","11/10/2022 10:57:20 AM"
"48",47,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Running"," 3072.3","13417.9","Informational","COAL found in Resources table is not a valid Resource Group option for the resource Battle River #4 (BR4).  This Resource Group pointer will be ignored.","11/10/2022 10:57:20 AM"
"49",48,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Running"," 3072.3","13417.9","Informational","ST_COAL found in Resources table is not a valid Resource Group option for the resource Battle River #4 (BR4).  This Resource Group pointer will be ignored.","11/10/2022 10:57:20 AM"
"50",49,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Running"," 3072.3","13417.9","Informational","AB_ST_COAL found in Resources table is not a valid Resource Group option for the resource Battle River #4 (BR4).  This Resource Group pointer will be ignored.","11/10/2022 10:57:20 AM"
"51",50,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Running"," 3072.3","13417.9","Informational","CANADA_ST_COAL found in Resources table is not a valid Resource Group option for the resource Battle River #4 (BR4).  This Resource Group pointer will be ignored.","11/10/2022 10:57:20 AM"
"52",51,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Running"," 3072.3","13417.9","Informational","WECC_ST_COAL found in Resources table is not a valid Resource Group option for the resource Battle River #4 (BR4).  This Resource Group pointer will be ignored.","11/10/2022 10:57:20 AM"
"53",52,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Running"," 3072.3","13417.9","Informational","WECCSRCANADA_ST_COAL found in Resources table is not a valid Resource Group option for the resource Battle River #4 (BR4).  This Resource Group pointer will be ignored.","11/10/2022 10:57:20 AM"
"54",53,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Running"," 3071.7","13410.1","Informational","Hydro Monthly table in row-oriented format.","11/10/2022 10:57:20 AM"
"55",54,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Running"," 3071.7","13410.1","Informational","Hydro Vectors table in row-oriented format.","11/10/2022 10:57:20 AM"
"56",55,"Base Case","11/10/2022 10:57:28 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",1,0,"Running"," 3168.5","13314.8","Informational","New resource ANRN 1325 will be paired with storage resource ANRN 1512 as the charging resource for the storage scheduling.","11/10/2022 10:57:28 AM"
"57",56,"Base Case","11/10/2022 10:57:28 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",1,0,"Running"," 3168.5","13314.5","Informational","New resource ANRN 1326 will be paired with storage resource ANRN 1513 as the charging resource for the storage scheduling.","11/10/2022 10:57:28 AM"
"58",57,"Base Case","11/10/2022 10:57:28 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",1,0,"Running"," 3168.5","13314.3","Informational","New resource ANRN 1327 will be paired with storage resource ANRN 1514 as the charging resource for the storage scheduling.","11/10/2022 10:57:28 AM"
"59",58,"Base Case","11/10/2022 10:57:28 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",1,0,"Running"," 3168.5","13314.1","Informational","New resource ANRN 1328 will be paired with storage resource ANRN 1515 as the charging resource for the storage scheduling.","11/10/2022 10:57:28 AM"
"60",59,"Base Case","11/10/2022 10:57:28 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",1,0,"Running"," 3168.5","13314.0","Informational","New resource ANRN 1329 will be paired with storage resource ANRN 1516 as the charging resource for the storage scheduling.","11/10/2022 10:57:28 AM"
"61",60,"Base Case","11/10/2022 10:57:28 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",1,0,"Running"," 3168.5","13314.0","Informational","New resource ANRN 1330 will be paired with storage resource ANRN 1517 as the charging resource for the storage scheduling.","11/10/2022 10:57:28 AM"
"62",61,"Base Case","11/10/2022 10:57:28 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",1,0,"Running"," 3168.5","13314.0","Informational","New resource ANRN 1331 will be paired with storage resource ANRN 1518 as the charging resource for the storage scheduling.","11/10/2022 10:57:28 AM"
"63",62,"Base Case","11/10/2022 10:57:28 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",1,0,"Running"," 3168.5","13314.0","Informational","New resource ANRN 1332 will be paired with storage resource ANRN 1519 as the charging resource for the storage scheduling.","11/10/2022 10:57:28 AM"
"64",63,"Base Case","11/10/2022 10:57:28 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",1,0,"Running"," 3168.5","13314.0","Informational","New resource ANRN 1333 will be paired with storage resource ANRN 1520 as the charging resource for the storage scheduling.","11/10/2022 10:57:28 AM"
"65",64,"Base Case","11/10/2022 10:57:28 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",1,0,"Running"," 3168.5","13314.0","Informational","New resource ANRN 1334 will be paired with storage resource ANRN 1521 as the charging resource for the storage scheduling.","11/10/2022 10:57:28 AM"
"66",65,"Base Case","11/10/2022 10:57:28 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",1,0,"Running"," 3168.5","13314.0","Informational","New resource ANRN 1335 will be paired with storage resource ANRN 1522 as the charging resource for the storage scheduling.","11/10/2022 10:57:28 AM"
"67",66,"Base Case","11/10/2022 10:57:28 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",1,0,"Running"," 3168.5","13314.0","Informational","New resource ANRN 1336 will be paired with storage resource ANRN 1523 as the charging resource for the storage scheduling.","11/10/2022 10:57:28 AM"
"68",67,"Base Case","11/10/2022 10:57:28 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",1,0,"Running"," 3168.5","13314.0","Informational","New resource ANRN 1337 will be paired with storage resource ANRN 1524 as the charging resource for the storage scheduling.","11/10/2022 10:57:28 AM"
"69",68,"Base Case","11/10/2022 10:57:28 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",1,0,"Running"," 3168.5","13314.0","Informational","New resource ANRN 1338 will be paired with storage resource ANRN 1525 as the charging resource for the storage scheduling.","11/10/2022 10:57:28 AM"
"70",69,"Base Case","11/10/2022 10:57:28 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",1,0,"Running"," 3168.5","13314.0","Informational","New resource ANRN 1339 will be paired with storage resource ANRN 1526 as the charging resource for the storage scheduling.","11/10/2022 10:57:28 AM"
"71",70,"Base Case","11/10/2022 10:57:28 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",1,0,"Running"," 3168.5","13314.0","Informational","New resource ANRN 1340 will be paired with storage resource ANRN 1527 as the charging resource for the storage scheduling.","11/10/2022 10:57:28 AM"
"72",71,"Base Case","11/10/2022 10:57:28 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",1,0,"Running"," 3168.5","13314.0","Informational","New resource ANRN 1341 will be paired with storage resource ANRN 1528 as the charging resource for the storage scheduling.","11/10/2022 10:57:28 AM"
"73",72,"Base Case","11/10/2022 10:57:28 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",1,0,"Running"," 3168.5","13314.0","Informational","New resource ANRN 1342 will be paired with storage resource ANRN 1529 as the charging resource for the storage scheduling.","11/10/2022 10:57:28 AM"
"74",73,"Base Case","11/10/2022 10:57:28 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",1,0,"Running"," 3168.5","13314.0","Informational","New resource ANRN 1343 will be paired with storage resource ANRN 1530 as the charging resource for the storage scheduling.","11/10/2022 10:57:28 AM"
"75",74,"Base Case","11/10/2022 10:57:28 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",1,0,"Running"," 3168.5","13314.0","Informational","New resource ANRN 1344 will be paired with storage resource ANRN 1531 as the charging resource for the storage scheduling.","11/10/2022 10:57:28 AM"
"76",75,"Base Case","11/10/2022 10:57:28 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",1,0,"Running"," 3168.5","13314.0","Informational","New resource ANRN 1345 will be paired with storage resource ANRN 1532 as the charging resource for the storage scheduling.","11/10/2022 10:57:28 AM"
"77",76,"Base Case","11/10/2022 10:57:28 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",1,0,"Running"," 3168.5","13314.0","Informational","New resource ANRN 1346 will be paired with storage resource ANRN 1533 as the charging resource for the storage scheduling.","11/10/2022 10:57:28 AM"
