,Date,Hour,Demand
504,2021-01-21,23,9725
505,2021-01-22,0,9577
506,2021-01-22,1,9516
507,2021-01-22,2,9465
508,2021-01-22,3,9477
509,2021-01-22,4,9500
510,2021-01-22,5,9655
511,2021-01-22,6,9967
512,2021-01-22,7,10450
513,2021-01-22,8,10713
514,2021-01-22,9,10682
515,2021-01-22,10,10662
516,2021-01-22,11,10663
517,2021-01-22,12,10604
518,2021-01-22,13,10596
519,2021-01-22,14,10561
520,2021-01-22,15,10604
521,2021-01-22,16,10768
522,2021-01-22,17,10996
523,2021-01-22,18,10943
524,2021-01-22,19,10769
525,2021-01-22,20,10609
526,2021-01-22,21,10451
527,2021-01-22,22,10210
528,2021-01-22,23,9959
529,2021-01-23,0,9818
530,2021-01-23,1,9704
531,2021-01-23,2,9661
532,2021-01-23,3,9650
533,2021-01-23,4,9657
534,2021-01-23,5,9722
535,2021-01-23,6,9867
536,2021-01-23,7,10103
537,2021-01-23,8,10331
538,2021-01-23,9,10505
539,2021-01-23,10,10705
540,2021-01-23,11,10761
541,2021-01-23,12,10737
542,2021-01-23,13,10638
543,2021-01-23,14,10608
544,2021-01-23,15,10634
545,2021-01-23,16,10813
546,2021-01-23,17,11147
547,2021-01-23,18,11086
548,2021-01-23,19,10946
549,2021-01-23,20,10807
550,2021-01-23,21,10705
551,2021-01-23,22,10504
552,2021-01-23,23,10258
553,2021-01-24,0,10075
554,2021-01-24,1,9962
555,2021-01-24,2,9931
556,2021-01-24,3,9931
557,2021-01-24,4,9956
558,2021-01-24,5,10012
559,2021-01-24,6,10111
560,2021-01-24,7,10314
561,2021-01-24,8,10493
562,2021-01-24,9,10602
563,2021-01-24,10,10751
564,2021-01-24,11,10838
565,2021-01-24,12,10866
566,2021-01-24,13,10821
567,2021-01-24,14,10829
568,2021-01-24,15,10891
569,2021-01-24,16,10880
570,2021-01-24,17,11173
571,2021-01-24,18,11110
572,2021-01-24,19,10933
573,2021-01-24,20,10794
574,2021-01-24,21,10712
575,2021-01-24,22,10498
576,2021-01-24,23,10270
577,2021-01-25,0,10145
578,2021-01-25,1,10074
579,2021-01-25,2,10041
580,2021-01-25,3,10041
581,2021-01-25,4,10057
582,2021-01-25,5,10202
583,2021-01-25,6,10588
